Supplier Name,Mandatory Restrictions,Reporting Month,Total Population Served,Conservation Standard (starting in June 2015) *Adjusted in March 2016 **Revised in June 2016, REPORTED Total Monthly Potable Water Production Reporting Month ,REPORTED Monthly CII,REPORTED Monthly Ag Use Reporting Month,CALCULATED Total Monthly Potable Water Production Reporting Month Gallons,CALCULATED Total Monthly Potable Water Production 2013 Gallons,CALCULATED Monthly CII Reporting Month,CALCULATED R-GPCD Reporting Month,% Residential Use,Hydrologic Region
East Bay Municipal Utilities District,No,9/15/16,1400000,0%,5636.2,912,,5636200000,6528400000,912000000,81.9,61,San Francisco Bay
East Bay Municipal Utilities District,No,8/15/16,1400000,0%,6007.5,1141,,6007500000,7172300000,1141000000,84.4,61,San Francisco Bay
East Bay Municipal Utilities District,No,7/15/16,1400000,0%,6056.6,994,,6056600000,7452200000,994000000,83.7,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/16,1400000,0%,5675.9,839,,5675900000,6927500000,839000000,82.4,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/16,1400000,16%,4959.3,955,,4959300000,6716500000,955000000,68.6,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/16,1400000,16%,4018.8,830,,4018800000,5417500000,830000000,59.3,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/16,1400000,16%,3765.6,810,,3765600000,4927500000,810000000,52.9,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/16,1400000,16%,3625.4,818,,3500386207,4016400000,789793103.5,54.5,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,1/15/16,1400000,16%,3736.4,1201,,3736400000,4099300000,1201000000,53.4,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/15,1390000,16%,3713.8,843,,3713800000,4772000000,843000000,53.4,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/15,1390000,16%,3875.9,847,,3875900000,5148600000,847000000,56.7,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/15,1390000,16%,4881,995,,4881000000,6175000000,995000000,68,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/15,1390000,16%,5060.7,1001.5,,5060700000,6528400000,1001500000,74,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/15,1390000,16%,5250.5,997.2,,5250500000,7172300000,997200000,74.3,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/15,1390000,16%,5148.5,955,,5148500000,7452200000,955000000,71.7,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/15,1390000,16%,4778.2,908.8,,4778200000,6927500000,908800000,69.9,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/15,1390000,NULL,4657.7,,,4657700000,6716500000,Null,64.9,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/15,1390000,NULL,4456.9,,,4456900000,5417500000,Null,66.3,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/15,1390000,NULL,4650.2,,,4650200000,4927500000,Null,65.8,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/15,1390000,NULL,3765.9,,,3765900000,4016400000,Null,59,61,San Francisco Bay
East Bay Municipal Utilities District,,1/15/15,1390000,NULL,4096.2,,,4096200000,4099300000,Null,58.9,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/14,1379000,NULL,3839,,,3839000000,4772000000,Null,55.7,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/14,1379000,NULL,4195.4,,,4195400000,5148600000,Null,61.9,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/14,1379000,NULL,5370.6,,,5370600000,6175000000,Null,75.4,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/14,1379000,NULL,5682.9,,,5682900000,6528400000,Null,83.8,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/14,1379000,NULL,6222,,,6222000000,7172300000,Null,88.8,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/14,1330000,NULL,6590.1,,,6590100000,7452800000,Null,110.3,69,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/14,1330000,NULL,6365.4,,,6365400000,7025700000,Null,110.1,69,San Francisco Bay
Morro Bay  City of,Yes,9/15/16,10284,0%,28777427,10121885,0,28777427,36627545,10121885,60.7,65,Central Coast
Morro Bay  City of,Yes,8/15/16,10284,0%,30608028,11041976,0,30608028,40528972,11041976,62.6,65,Central Coast
Morro Bay  City of,Yes,7/15/16,10284,0%,31975594,11431685,0,31975594,42026752,11431685,66.6,66,Central Coast
Morro Bay  City of,Yes,6/15/16,10284,0%,29421802,11471328,0,29421802,36565077,11471328,63.4,66,Central Coast
Morro Bay  City of,Yes,5/15/16,10284,12%,28468458,9212368,0,28468458,33911021,9212368,58.2,65,Central Coast
