Supplier Name,Mandatory Restrictions,Reporting Month,Total Population Served, REPORTED Total Monthly Potable Water Production Reporting Month , REPORTED Total Monthly Potable Water Production 2013 ,REPORTED Monthly CII,REPORTED Monthly Ag Use Reporting Month,Conservation Standard (starting in June 2015) *Adjusted in March 2016 **Revised in June 2016,CALCULATED Total Monthly Potable Water Production Reporting Month Gallons,CALCULATED Total Monthly Potable Water Production 2013 Gallons,CALCULATED Monthly CII Reporting Month,% Residential Use,Hydrologic Region
East Bay Municipal Utilities District,No,10/15/16," 1,400,000 ",4689.9,6175,956,,0%," 4,689,900,000 "," 6,175,000,000 "," 956,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,No,9/15/16," 1,400,000 ",5636.2,6528.4,912,,0%," 5,636,200,000 "," 6,528,400,000 "," 912,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,No,8/15/16," 1,400,000 ",6007.5,7172.3,1141,,0%," 6,007,500,000 "," 7,172,300,000 "," 1,141,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,No,7/15/16," 1,400,000 ",6056.6,7452.2,994,,0%," 6,056,600,000 "," 7,452,200,000 "," 994,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/16," 1,400,000 ",5675.9,6927.5,839,,0%," 5,675,900,000 "," 6,927,500,000 "," 839,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/16," 1,400,000 ",4959.3,6716.5,955,,16%," 4,959,300,000 "," 6,716,500,000 "," 955,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/16," 1,400,000 ",4018.8,5417.5,830,,16%," 4,018,800,000 "," 5,417,500,000 "," 830,000,000 ", 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/16," 1,400,000 ",3765.6,4927.5,810,,16%," 3,765,600,000 "," 4,927,500,000 "," 810,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/16," 1,400,000 ",3625.4,4016.4,818,,16%," 3,500,386,207 "," 4,016,400,000 "," 789,793,103 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,1/15/16," 1,400,000 ",3736.4,4099.3,1201,,16%," 3,736,400,000 "," 4,099,300,000 "," 1,201,000,000 ", 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/15," 1,390,000 ",3713.8,4772,843,,16%," 3,713,800,000 "," 4,772,000,000 "," 843,000,000 ", 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/15," 1,390,000 ",3875.9,5148.6,847,,16%," 3,875,900,000 "," 5,148,600,000 "," 847,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/15," 1,390,000 ",4881,6175,995,,16%," 4,881,000,000 "," 6,175,000,000 "," 995,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/15," 1,390,000 ",5060.7,6528.4,1001.5,,16%," 5,060,700,000 "," 6,528,400,000 "," 1,001,500,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/15," 1,390,000 ",5250.5,7172.3,997.2,,16%," 5,250,500,000 "," 7,172,300,000 "," 997,200,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/15," 1,390,000 ",5148.5,7452.2,955,,16%," 5,148,500,000 "," 7,452,200,000 "," 955,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/15," 1,390,000 ",4778.2,6927.5,908.8,,16%," 4,778,200,000 "," 6,927,500,000 "," 908,800,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/15," 1,390,000 ",4657.7,6716.5,,,NULL," 4,657,700,000 "," 6,716,500,000 ", Null , 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/15," 1,390,000 ",4456.9,5417.5,,,NULL," 4,456,900,000 "," 5,417,500,000 ", Null , 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/15," 1,390,000 ",4650.2,4927.5,,,NULL," 4,650,200,000 "," 4,927,500,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/15," 1,390,000 ",3765.9,4016.4,,,NULL," 3,765,900,000 "," 4,016,400,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,,1/15/15," 1,390,000 ",4096.2,4099.3,,,NULL," 4,096,200,000 "," 4,099,300,000 ", Null , 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/14," 1,379,000 ",3839,4772,,,NULL," 3,839,000,000 "," 4,772,000,000 ", Null , 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/14," 1,379,000 ",4195.4,5148.6,,,NULL," 4,195,400,000 "," 5,148,600,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/14," 1,379,000 ",5370.6,6175,,,NULL," 5,370,600,000 "," 6,175,000,000 ", Null , 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/14," 1,379,000 ",5682.9,6528.4,,,NULL," 5,682,900,000 "," 6,528,400,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/14," 1,379,000 ",6222,7172.3,,,NULL," 6,222,000,000 "," 7,172,300,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/14," 1,330,000 ",6590.1,7452.8,,,NULL," 6,590,100,000 "," 7,452,800,000 ", Null , 69 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/14," 1,330,000 ",6365.4,7025.7,,,NULL," 6,365,400,000 "," 7,025,700,000 ", Null , 69 ,San Francisco Bay
Morro Bay  City of,Yes,10/15/16," 10,608 ",28539498,37234272,10548297,0,0%," 28,539,498 "," 37,234,272 "," 10,548,297 ", 65 ,Central Coast
Morro Bay  City of,Yes,9/15/16," 10,284 ",28777427,36627545,10121885,0,0%," 28,777,427 "," 36,627,545 "," 10,121,885 ", 65 ,Central Coast
Morro Bay  City of,Yes,8/15/16," 10,284 ",30608028,40528972,11041976,0,0%," 30,608,028 "," 40,528,972 "," 11,041,976 ", 65 ,Central Coast
Morro Bay  City of,Yes,7/15/16," 10,284 ",31975594,42026752,11431685,0,0%," 31,975,594 "," 42,026,752 "," 11,431,685 ", 66 ,Central Coast
Morro Bay  City of,Yes,6/15/16," 10,284 ",29421802,36565077,11471328,0,0%," 29,421,802 "," 36,565,077 "," 11,471,328 ", 66 ,Central Coast
Morro Bay  City of,Yes,5/15/16," 10,284 ",28468458,33911021,9212368,0,12%," 28,468,458 "," 33,911,021 "," 9,212,368 ", 65 ,Central Coast
Morro Bay  City of,Yes,4/15/16," 10,284 ",25679413,28928011,8941592,0,12%," 25,679,413 "," 28,928,011 "," 8,941,592 ", 67 ,Central Coast
Morro Bay  City of,Yes,3/15/16," 10,284 ",24876688,31277518,7048405,0,12%," 24,876,688 "," 31,277,518 "," 7,048,405 ", 69 ,Central Coast
Morro Bay  City of,Yes,2/15/16," 10,284 ",23427690,25941318,5715468,0,12%," 22,619,839 "," 25,941,318 "," 5,518,383 ", 71 ,Central Coast
Morro Bay  City of,Yes,1/15/16," 10,284 ",24343394,30427517,8070172,0,12%," 24,343,394 "," 30,427,517 "," 8,070,172 ", 68 ,Central Coast
Morro Bay  City of,Yes,12/15/15," 10,234 ",25226154,33999367,7420908,0,12%," 25,226,154 "," 33,999,367 "," 7,420,908 ", 67 ,Central Coast
Morro Bay  City of,Yes,11/15/15," 10,234 ",28815483,33485435,8188096,0,12%," 28,815,483 "," 33,485,435 "," 8,188,096 ", 65 ,Central Coast
Morro Bay  City of,Yes,10/15/15," 10,234 ",29133677,37234272,7829316,0,12%," 29,133,677 "," 37,234,272 "," 7,829,316 ", 65 ,Central Coast
Morro Bay  City of,Yes,9/15/15," 10,234 ",30354644,36627545,8659596,0,12%," 30,354,644 "," 36,627,545 "," 8,659,596 ", 61 ,Central Coast
Morro Bay  City of,Yes,8/15/15," 10,234 ",32579005,40528972,11604472,,12%," 32,579,005 "," 40,528,972 "," 11,604,472 ", 63 ,Central Coast
Morro Bay  City of,Yes,7/15/15," 10,234 ",32318984,42026752,9604320,0,12%," 32,318,984 "," 42,026,752 "," 9,604,320 ", 63 ,Central Coast
Morro Bay  City of,Yes,6/15/15," 10,234 ",32189607,36565077,10424128,,12%," 32,189,607 "," 36,565,077 "," 10,424,128 ", 63 ,Central Coast
Morro Bay  City of,Yes,5/15/15," 10,234 ",29893170,36927203,9627508,,NULL," 29,893,170 "," 36,927,203 "," 9,627,508 ", 64 ,Central Coast
Morro Bay  City of,Yes,4/15/15," 10,234 ",29362580,28928011,,,NULL," 29,362,580 "," 28,928,011 ", Null , 66 ,Central Coast
Morro Bay  City of,Yes,3/15/15," 10,234 ",29893871,31277518,,,NULL," 29,893,871 "," 31,277,518 ", Null , 69 ,Central Coast
Morro Bay  City of,Yes,2/15/15," 10,234 ",25004393,25941318,,,NULL," 25,004,393 "," 25,941,318 ", Null , 69 ,Central Coast
Morro Bay  City of,Yes,1/15/15," 10,234 ",29586922,30427517,,,NULL," 29,586,922 "," 30,427,517 ", Null , 71 ,Central Coast
Morro Bay  City of,Yes,12/15/14," 10,234 ",26365763,33999367,,,NULL," 26,365,763 "," 33,999,367 ", Null , 68 ,Central Coast
Morro Bay  City of,Yes,11/15/14," 10,234 ",27062107,33485435,,,NULL," 27,062,107 "," 33,485,435 ", Null , 67 ,Central Coast
Morro Bay  City of,Yes,10/15/14," 10,234 ",32547457,37234272,,,NULL," 32,547,457 "," 37,234,272 ", Null , 65 ,Central Coast
Morro Bay  City of,Yes,9/15/14," 10,234 ",32804911,36627545,,,NULL," 32,804,911 "," 36,627,545 ", Null , 65 ,Central Coast
Morro Bay  City of,Yes,8/15/14," 10,461 ",35695596,40528972,,,NULL," 35,695,596 "," 40,528,972 ", Null , 64 ,Central Coast
Morro Bay  City of,Yes,7/15/14," 10,608 ",37625206,42026752,,,NULL," 37,625,206 "," 42,026,752 ", Null , 61 ,Central Coast
Morro Bay  City of,Yes,6/15/14," 10,234 ",34544401,36565077,,,NULL," 34,544,401 "," 36,565,077 ", Null , 66 ,Central Coast
Yorba Linda Water District,Yes,10/15/16," 78,539 ",1456.45,1953.5,118.71,,0%," 474,586,311 "," 636,550,763 "," 38,681,823 ", 74 ,South Coast
Yorba Linda Water District,Yes,9/15/16," 78,539 ",1649.09,2236.5,157.14,,0%," 537,358,330 "," 728,766,716 "," 51,204,293 ", 74 ,South Coast
